StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_1_TEXT,Q2,Q2_1_TEXT,Q3,Q3_1_TEXT,Q4,Q4_1_TEXT,Q5,Q5_1_TEXT,Q6,Q6_1_TEXT,Q7,Q7_2_TEXT,Q6_1_TEXT - Topics,Q6_1_TEXT - Parent Topics,Q6_1_TEXT - Topic Hierarchy Level 1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Is your title emergency manager, resilience officer, or something related? - Selected Choice","Is your title emergency manager, resilience officer, or something related? - Please answer yes or no. If yes, please enter your exact title. - Text",What is your current role as an emergency manager or resilience officer? - Selected Choice,What is your current role as an emergency manager or resilience officer? - Describe your usual responsibilities - Text,Are you aware that communities impacted by the digital divide are also more vulnerable to the impacts of climate change? - Selected Choice,"Are you aware that communities impacted by the digital divide are also more vulnerable to the impacts of climate change? - Please answer yes or no. If yes, please explain your understanding of this issue. - Text",Do you have any knowledge of how the digital divide affects rural and BIPOC communities differently than other communities - Selected Choice,"Do you have any knowledge of how the digital divide affects rural and BIPOC communities differently than other communities - Please answer yes or no. If yes, please explain your knowledge or understanding - Text",Have you taken any steps to bridge the digital divide in your state/county? - Selected Choice,"Have you taken any steps to bridge the digital divide in your state/county? - Please answer yes or no. If yes, please explain any steps you've taken. - Text","Have you collaborated with local government, non-profit organizations, or private sector entities to address the digital divide and its connection to climate change? - Selected Choice","Have you collaborated with local government, non-profit organizations, or private sector entities to address the digital divide and its connection to climate change? - Please answer yes or no. If yes, please add additional details about that collaboration - Text","As an emergency manager or resilience officer, what obstacles do you encounter when addressing the digital divide and climate risk, and what additional resources or support would improve your ability to address these challenges? - Selected Choice","As an emergency manager or resilience officer, what obstacles do you encounter when addressing the digital divide and climate risk, and what additional resources or support would improve your ability to address these challenges? - Please answer here - Text",Q6_1_TEXT - Topics,Q6_1_TEXT - Parent Topics,Q6_1_TEXT - Topic Hierarchy Level 1
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID30""}","{""ImportId"":""QID30_1_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_1_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID29_1_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_1_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_1_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_1_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID27_2_TEXT""}","{""ImportId"":""QID26_1_TEXT_5545ccf7_5h3rt1n6vcslTopics""}","{""ImportId"":""QID26_1_TEXT_5545ccf7_5h3rt1n6vcslParTopics""}","{""ImportId"":""QID26_1_TEXT_5545ccf7_5h3rt1n6vcslTopicHierarchy1""}"
7/18/23 16:49,7/18/23 16:50,1,,100,27,1,7/18/23 16:50,R_3CODrj914bAJ7Yn,,,,,38.8078,-77.0523,preview,EN,,,,,,,,,,,,,,,,,
7/19/23 7:58,7/19/23 8:01,0,188.4.75.40,100,126,1,7/19/23 8:01,R_qKL9hiDDziCTHhf,,,,,37.9312,23.7032,anonymous,EN,,,,,,,,,,,,,,,,,
7/19/23 7:54,7/19/23 8:28,0,141.161.133.173,100,2021,1,7/19/23 8:28,R_3qQcqc4iNjNV4eM,,,,,38.894,-77.0365,anonymous,EN,,,1,Data analysis,,,,,1,"The first step in acting is ensuring adequate and thorough understanding of the issue at hand to ensure, informed, and evidence-based action. Through my current research I’ve increased my understanding of how climate and public health resilience is linked to broadband access. Moving forward I hope to find opportunities where I can put this knowledge into practice to close the digital divide and increase community resilience in vulnerable communities across the U.S.",1,"Previously I worked for DC Homeland Security Emergency Management Agency (HSEMA) as an intern in their Resilience Bureau. Through my stint at HSEMA I facilitated multiagency collaboration to coordinate the District’s annual progress report on adopting the 2019 Resilient DC strategy to address challenges of affordable housing, economic and social inequality, environmental health, and urban mobility. Of which, the addressing the digital divide is one of the through line strategies to increase resilience in all the focuses named above. ",1,,Unknown,,
7/19/23 9:50,7/19/23 9:57,0,174.172.148.8,100,402,1,7/19/23 9:57,R_2RV1dGG8mqp7pfl,,,,,39.0488,-76.8343,anonymous,EN,,,1,"Preparedness outreach and development of topic specific planning guidance for state, local, tribal, and territorial audiences ",,,,,1,No,1,No,1,,Unknown,,
7/20/23 8:51,7/20/23 8:59,0,73.250.245.115,100,526,1,7/20/23 8:59,R_3fMMPqVmLZuKWZq,,,,,38.8315,-77.1199,anonymous,EN,,,1,"Engages with external partners and local counterparts while conducting effective public outreach and communications initiatives. Demonstrated success in managing humanitarian programs, conducting thorough evaluations, and carrying out detailed assessments to drive positive change. 	Designed a program management plan to facilitate seamless coordination among Public Health, Emergency Managers, and 41 Long-Term Care facilities at a regional level, including mutual aid planning, bi-monthly training sessions, mitigation measures, a collaborative workgroup, and a preparedness program.",,,,,1,"No, I work at the individual level. ",1,Not yet. Would like the opportunity. ,1,,Unknown,,
7/20/23 12:34,7/20/23 12:34,0,142.190.68.122,100,36,1,7/20/23 12:34,R_QoBtVC8IJipq8vv,,,,,29.9353,-90.074,anonymous,EN,,,,,,,,,,,,,,,,,
7/22/23 18:07,7/22/23 18:12,0,71.204.218.34,100,321,1,7/22/23 18:12,R_3lMOMTPuhK7SbRv,,,,,38.8078,-77.0523,anonymous,EN,,,1,"Collaboration with emergency managers, academics, community and city leadership on planning and adaptation for climate related issues, economic stability and other shocks",,,,,2,,"1,2",No,"2,1","Funding is a challenge, building community trust, keeping political interest in projects",Unknown,,
7/23/23 12:26,7/23/23 12:27,1,,100,80,1,7/23/23 12:27,R_1fgapNRCzj3tu13,,,,,38.8078,-77.0523,preview,EN,1,Chief Resilience Officer,1,collaborate with state and local officials,1,Yes,1,Yes. They are less likely to have connections and access to public resources,1,Yes. We are part of a digital equity committee,1,No,2,political will,Unknown,,
7/18/23 20:50,7/18/23 20:50,0,173.195.15.235,13,5,0,7/25/23 20:50,R_ReSgT9pnPV5sdEd,,,,,,,social,EN,,,,,,,,,,,,,,,,,
7/19/23 0:35,7/19/23 0:35,0,94.209.138.171,13,9,0,7/26/23 0:35,R_2UiqeoRe72HaXg7,,,,,,,social,EN,,,,,,,,,,,,,,,,,
7/19/23 0:45,7/19/23 0:46,0,131.111.5.2,13,39,0,7/26/23 0:46,R_7UJb7L3MHrEmOat,,,,,,,social,EN,,,,,,,,,,,,,,,,,
7/19/23 6:25,7/19/23 6:25,0,186.82.184.26,13,6,0,7/26/23 6:25,R_1MRpX2jqZ9ejG7P,,,,,,,social,EN,,,,,,,,,,,,,,,,,
7/19/23 7:40,7/19/23 7:40,0,206.217.205.116,13,17,0,7/26/23 7:40,R_3iPSxkoL8I8x3vx,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,
7/19/23 8:26,7/19/23 8:26,0,166.198.157.89,13,37,0,7/26/23 8:26,R_24pYRVHiEaaIcoT,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,
7/19/23 8:38,7/19/23 8:39,0,24.206.76.49,13,15,0,7/26/23 8:39,R_2TKMliKMRPkRiPt,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,
7/19/23 9:03,7/19/23 9:03,0,209.133.30.242,13,43,0,7/26/23 9:03,R_1Qfj1KF12YoCOdm,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,
7/19/23 9:29,7/19/23 9:30,0,174.236.38.3,38,46,0,7/26/23 9:30,R_3oAAZ6Bex23bS3f,,,,,,,anonymous,EN,,,1,Work with local leaders to build disaster preparedness and resilience capacity,,,,,,,,,,,,,
7/19/23 10:09,7/19/23 10:09,0,173.66.103.75,13,6,0,7/26/23 10:09,R_2uKUUepSCAx9PmS,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,
7/19/23 8:01,7/19/23 10:22,0,71.230.114.235,13,8459,0,7/26/23 10:22,R_vkRIBMzy0liCLXH,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,
7/19/23 10:23,7/19/23 10:24,0,108.56.78.82,13,31,0,7/26/23 10:24,R_1ClthCtQTZvjEqS,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,
7/19/23 10:53,7/19/23 10:58,0,100.36.41.119,13,278,0,7/26/23 10:58,R_3PRnZLPCb9hc5uj,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,
7/19/23 12:00,7/19/23 12:00,0,130.202.242.229,13,17,0,7/26/23 12:01,R_2xVhDAr0ieVXCv8,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,
7/19/23 12:52,7/19/23 12:52,0,77.21.64.43,13,13,0,7/26/23 12:52,R_XA0cIL63Xj6v20N,,,,,,,social,EN,,,,,,,,,,,,,,,,,
7/19/23 12:40,7/19/23 13:34,0,76.81.20.61,13,3286,0,7/26/23 13:34,R_2fp8CxZQYif54jC,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,
7/19/23 13:44,7/19/23 13:44,0,69.132.34.189,13,13,0,7/26/23 13:45,R_3Dp8bRiEBverbbX,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,
7/19/23 15:27,7/19/23 15:28,0,179.50.164.144,13,59,0,7/26/23 15:28,R_3r0o8oDR0LRURa9,,,,,,,social,EN,,,,,,,,,,,,,,,,,
7/26/23 15:43,7/26/23 15:48,0,72.73.91.86,100,251,1,7/26/23 15:48,R_2QYV3MyLLpC04jK,,,,,42.8374,-71.1566,anonymous,EN,1,"Yes, Hazard Mitigation Specialist ",1,"Work on hazard mitigation plans, provide mitigation training, promote mitigation measures and apply for grants",1,"Yes, I understand that may vulnerable populations don't have reliable access to the internet which could impact their ability to mitigate, prepare for, and respond to the impacts of climate change ",1,"Unsure, think some of relates to lack of access to information and disbelief in the phenomenon and need to prepare",1,No,1,No,2,"Additional education opportunities, clear funding for this in a mitigation capacity",Unknown,,
7/19/23 16:21,7/19/23 16:22,0,73.135.105.137,38,72,0,7/26/23 16:22,R_1IaamNjZSxQdy9b,,,,,,,anonymous,EN,,,1,Directs risk reduction activities and resilience actions for emergency management ,,,,,,,,,,,,,
7/19/23 18:08,7/19/23 18:09,0,65.207.22.2,13,62,0,7/26/23 18:09,R_1E6t6XOikyylCxe,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,
7/19/23 18:45,7/19/23 18:45,0,58.109.226.153,13,17,0,7/26/23 18:45,R_1JRc4UG4U27fuxy,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,
7/19/23 21:38,7/19/23 21:38,0,73.63.148.181,13,15,0,7/26/23 21:39,R_2xY4VV8MeVZpxUm,,,,,,,social,EN,,,,,,,,,,,,,,,,,
7/19/23 23:16,7/19/23 23:20,8,216.24.177.23,13,267,0,7/26/23 23:20,R_1mEgDGGmeCZY1lr,,,,,,,social,EN,,,,,,,,,,,,,,,,,
7/20/23 1:29,7/20/23 1:30,0,216.24.177.23,13,27,0,7/27/23 1:30,R_1dirDymljFKv3wF,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,
7/20/23 4:55,7/20/23 4:57,0,98.110.43.3,38,128,0,7/27/23 4:57,R_1ibyjdKuQYuHFdH,,,,,,,anonymous,EN,,,1,"Manage planning office, coastal program, buyout program; oversee councilor agencies, produce resilience policy documents.",,,,,,,,,,,,,
7/20/23 12:06,7/20/23 12:07,0,129.45.105.244,13,83,0,7/27/23 12:07,R_2rvjwG8bfLM1Yaw,,,,,,,social,EN,,,,,,,,,,,,,,,,,
7/20/23 21:04,7/20/23 21:22,0,45.115.57.19,38,1081,0,7/27/23 21:22,R_2Bkxa1zxqp7VWGv,,,,,,,social,EN,,,1,Regional Director Asia of The International Emergency Management Society TIEMS Oslo ,,,,,,,,,,,,,
7/23/23 12:29,7/23/23 13:58,0,71.204.218.34,13,5356,0,7/30/23 13:58,R_POFpm601QfRci6R,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,
7/27/23 8:51,7/27/23 8:52,0,68.8.80.94,13,31,0,8/3/23 8:52,R_OlLbI1mTMMKw7x7,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,
8/3/23 18:12,8/3/23 18:13,0,172.59.104.175,100,43,1,8/3/23 18:13,R_Bug5FAIVYcG1xe1,,,,,29.9701,-90.0254,anonymous,EN,,,,,,,,,,,,,,,,,
8/4/23 11:28,8/4/23 11:29,0,50.99.173.35,100,36,1,8/4/23 11:29,R_3fUUmJHwjI3HCe2,,,,,51.0868,-115.3504,anonymous,EN,,,,,,,,,,,,,,,,,
8/7/23 11:48,8/7/23 11:55,0,156.74.250.11,100,433,1,8/7/23 11:55,R_2Emc2f9joUUzUPd,,,,,47.6034,-122.3414,social,EN,1,"Yes, Emergency Planning Coordinator",1,"Oversee and manage comprehensive citywide emergency management planning for the City of Seattle, serve as 24/7 rotating duty officer, respond to EOC as needed",1,"Yes, communities without access to the internet are less likely to be able to access critical information and can get ""lost"" when agencies try to do outreach if they're not intentional about reaching these communities. The digital divide is also correlated with lack of access to other services, which may compound vulnerabilities.  ",1,"Yes, it exacerbates existing vulnerabilities and perpetuates unequal access ",1,The City gives grants to individuals and groups that address the digital divide ,1,"I have not in my role, but others in the city do that work ",2,"There is an ever-widening gap between the haves and have-nots when it comes to the digital divide, both in terms of expectations and access. On one side, people who are very connected and involved in the digital world have become so accustomed to personalized content, push alerts, and information availabilitiy that they expect government to have the same capabilities as large tech companies when it comes to getting them relevant information. On the other end, people who do not have access to the digital space are left behind if we chase digital access, and the content we create tailored for digital spaces does not fit their needs. Ensuring everyone has at least a WEA-enabled cell phone with service or a weather radio is a simple start, but won't address the fundamental inequities. ",Unknown,,
8/7/23 22:44,8/7/23 22:45,0,160.2.64.231,100,48,1,8/7/23 22:45,R_3sbAP1Abm160CQh,,,,,46.3899,-117.0672,social,EN,,,,,,,,,,,,,,,,,
8/9/23 21:18,8/9/23 21:28,0,73.1.160.165,100,644,1,8/9/23 21:28,R_1CDXA2OHm5w6sQw,,,,,26.1481,-80.2088,social,EN,1,Emergency Manager,1,Preparedness and response to natural or man made disasters. Advising leadership in making strategic decisions to mitigate loss of life and injury. Consistent trainings and exercises on hazards outlined in our internal annual hazard and vulnerability analysis (HVA).,1,"Yes, here in Miami we are on the front lines of Climate Change. I understand and calculate in our emergency plans our vulnerable populations. ",1,I have an idea but can learn more. I work with Catalyst Miami to understand these differences. ,1,"Yes, submerging myself in the BIPOC communities like little haiti etc to hear from the community residents directly their experiences and gaps they experience. ",1,"Yes, the Cleo Institute in miami is wonderful and Miami Climate Alliance. I subscribe to many organizations to understand and collaborate to build alignment. ",2,Local Community organizations should have a representative in the Emergency Operation Centers or be better aligned with VOADs to receive the information as close to real time to better initiate emergency response measures. ,Unknown,,
8/4/23 7:12,8/4/23 8:10,0,100.36.41.119,13,3477,0,8/11/23 8:10,R_1fdBLWKIkt4aTuq,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,
8/16/23 13:25,8/16/23 13:56,0,76.115.108.126,100,1847,1,8/16/23 13:56,R_2saHNJtq4ghqq77,,,,,45.3716,-122.7656,anonymous,EN,1,Yes,1,"I'm a recently (semi-)retired local emergency manager, still part of state and regional planning. Still teaching. Also serving as a state medical volunteer. I also chair my county's Emergency Preparedness Council - as that county is on the verge of eliminating its Equity Office.",1,"Yes. the digital divide magnifies vulnerability to all hazards. For CC in particular it includes less/no access to warning, prep/safety info, access to resources, opportunity for input or to request assistance, and likely correlation with less adaptable housing and infrastructure.",1,"Both listed communities are isolated to varying extents from the bulk of society: rural communities by geography and infrastructure (some by choice), BIPOC via structural social end economic discrimination that includes intentional intimidation and marginalization. ",1,"State: to an extent, but more aspirational than actual. County: no that I'm aware of.",1,No. No specifically on the digital divide.,2,"Is there enough space here? Biggest might be tendency for people to just throw up their hands on CC, DD, or other aspects of vulnerable and disinvested communities, let alone a combination. I think there's too much box-checking (not necessarily malicious but with a malign result) and for much of EM I'd say it's largely a combination of ignorance, insufficient knowledge, skills, and mindset for the job (most EMs are from the response world with little knowledge, training, or experience in anything else, so approach everything as a tactical problem (see ""ICS as a panacea""). I'd say that professional education and resource allocation would help, but I think EM needs major conceptual and structural changes.",Unknown,,
8/16/23 13:08,8/16/23 13:09,0,167.137.1.13,13,48,0,8/23/23 13:10,R_2upTVg0EPpDgqNv,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,
8/30/23 8:50,8/30/23 8:51,0,216.81.81.83,100,47,1,8/30/23 8:51,R_3D6mOx6HXfr1ccA,,,,,37.751,-97.822,anonymous,EN,1,,,,,,,,,,,,,,,,
8/30/23 8:53,8/30/23 8:56,0,216.59.66.22,100,211,1,8/30/23 8:56,R_DIgLHbGydx1xI6R,,,,,42.8608,-76.9915,anonymous,EN,1,No,,,1,Yes,1,Yes.  Access to tech,1,Yes.  Part of NYS Library discussion group,1,No.  Not yet (planning),2,Communication regarding risk/damage/resources is limited.,Unknown,,
8/30/23 8:54,8/30/23 9:00,0,134.22.18.149,100,313,1,8/30/23 9:00,R_2cqrwC2bepaurlx,,,,,32.107,-81.2499,anonymous,EN,1,"Yes, I am the Coastal Training Program Coordinator ",1,I train local professional groups on issues related to coastal management ie resilience and nature based solutions,1,"Yes, Many I work with do not fully understand the concepts of climate change and resources that are digitally accessible are valuable, but if they are older or economically challenged areas, most do not have the ability or knowledge to access these materials",1,"Yes, rural areas and some BIPOC communities lack internet access affordably so they are unable to interact with digital information. I primarily see it with older generations more so with younger communities. ",1,No,1,Nope,2,"Funding, like minded collaborators, will power of higher ups, resistance from the communities for intrusion and/or change.  ",Unknown,,
8/30/23 9:21,8/30/23 9:22,0,98.26.48.179,100,52,1,8/30/23 9:22,R_10vp80HREQVSOFp,,,,,36.039,-78.878,anonymous,EN,,,,,,,,,,,,,,,,,
9/1/23 19:05,9/1/23 19:09,0,39.33.213.86,100,249,1,9/1/23 19:09,R_21GP8VT3XB0WYP9,,,,,33.7233,73.0435,anonymous,EN,1,Yes,1,Former Adviser media,1,yes,1,Yes,1,No,1,Yes,2,Lack of political will and poor leadership in the field,Unknown,,
8/30/23 8:34,8/30/23 8:35,0,136.226.12.51,13,29,0,9/6/23 8:35,R_3nuOBh8ufM0SQps,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,
8/30/23 8:35,8/30/23 8:36,0,71.120.138.104,13,22,0,9/6/23 8:36,R_3PXibNu5Hx1AJnU,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,
8/30/23 8:42,8/30/23 8:42,0,216.252.196.60,13,22,0,9/6/23 8:42,R_3hEZDP53n0Qcml8,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,
8/30/23 8:41,8/30/23 8:47,0,97.105.98.178,38,315,0,9/6/23 8:47,R_3G9rcXCyYiOfNgn,,,,,,,anonymous,EN,1,Individual Assistance Program Supervisor,1,State Preliminary Damage Assessment Lead and State Individual Assistance Officer. Validate damages and coordinate with FEMA/SBA on federal declarations. ,,,,,,,,,,,,,
